data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5662860,434,LBY8316,8316,27/07/2019,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,11,Northern Africa,Libya,West,Misrata,,Misratah,32.3754,15.0925,1,Facebook; Libya Observer; Libya Herald; Address Libya; Ean Libya Limited; Akhbar Libya; Libya EN; RFI,Other-Subnational,"On July 27, LNA airstrikes hit Misratah Air College.",0,1564426183,LBY
5668853,356,IND58817,58817,27/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India); JKNC: Jammu and Kashmir National Conference,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Udhampur,Udhampur,Udhampur,32.9243,75.1357,1,Daily Excelsior,Subnational,"On July 27, students of Government Higher Secondary School Pancheri along with locals led by NC block president held a protest rally in Udhampur city (Udhampur, J&K) against shortage of teachers in their school. [size=no report]",0,1564494186,IND
5668862,356,IND58826,58826,27/07/2019,2019,2,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Punjab,Ludhiana,Ludhiana,Ludhiana,30.912,75.8537,1,Chandigarh Tribune,Subnational,"On 27 July (assumed), over a 100 students from the Lord Mahavira Homoeopathic Medical College and their principal demonstrated on the road in Ludhiana city (Punjab) to oppose the unloading of waste near the girl's hostel. [size=over 100]",0,1564494186,IND
5668863,356,IND58827,58827,27/07/2019,2019,1,Riots,Violent demonstration,Rioters (India),Students (India),5,Rioters (India),,5,55,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Chandigarh Tribune,Subnational,"On 27 July, students of Government Rajindra College demonstrated in Bathinda city (Punjab) to oppose the charging of PTA fund from SC students. The report suggest that the students became violent towards council members and some students were manhandled and thrown into the road. No injuries were reported. [size=no report]",0,1564494186,IND
5661747,4,AFG22622,22622,26/07/2019,2019,1,Strategic developments,Looting/property destruction,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization,1,Civilians (Afghanistan),,7,17,Southern Asia,Afghanistan,Farah,Qala i Kah,,Karezak,32.4104,61.4593,1,Voice of Jihad,Other,"Property destruction: On July 26 2019, 1 civilian was arrested during a raid by Afghan and NATO forces on civilian compounds in the Karezak area of Qala i Kah (Pusht Koh) district, Farah. 1 house, 1 school, and 1 mosque were burned.",0,1564425899,AFG
5662657,12,ALG6900,6900,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Oran,Oran,,Oran,35.6911,-0.6417,1,Liberte,National,"On 23 July, 2019, students held their 22nd consecutive anti-regime university demonstrations in Oran [size= no report].",0,1564426183,DZA
5663190,800,UGA5618,5618,26/07/2019,2019,1,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda),5,Civilians (Uganda),Teachers (Uganda),7,57,Eastern Africa,Uganda,Kitgum,Chua,Kitgum Town Council,Kitgum,3.2783,32.8867,1,URN (Uganda),National,"On July 26th, college students demonstrated in Kitgum (Kitgum district), throwing stones at teachers and damaging school property. [size=no report]",0,1564426184,UGA
5667766,50,BGD16375,16375,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),6,,,0,60,Southern Asia,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka-Shahbagh,23.7406,90.3943,1,Financial Express (Bangladesh),National,"On July 26, students of Dhaka university pulled down the temporary wall for fencing the station construction site of Mass Rapid Transit (MRT) line-6 in Shahbagh, Dhaka city. Students demanded shifting of the station from the campus. [size=12]",0,1564494184,BGD
5668156,144,SRI3590,3590,26/07/2019,2019,2,Riots,Mob violence,Rioters (Sri Lanka),Students (Sri Lanka),5,Civilians (Sri Lanka),Teachers (Sri Lanka),7,57,Southern Asia,Sri Lanka,Central,Nuwara Eliya,Ambagamuwa,Maskeliya,6.8333,80.5722,1,Hiru News,National,"As reported on July 26, rioters vandalized the office properties of the Principal of Maskeliya-Fairlawn Tamil School under the Hatton Zonal Education office in Maskeliya locality (Ambagamuwa, Nuwara Eliya district). The initial investigation reveal that two students vandalized the office to steal test questions. [size=no report]",0,1564494184,LKA
